Running on: cuda:1
Files already downloaded and verified
Feature extractor: resnet18
Pre-trained weights not found. Training from scratch.
16.50237464904785 35.68762159347534 63.32662630081177
14.619369983673096 35.079479694366455 52.63674020767212
15.159180959065756 34.91892671585083 56.0361590385437
14.86087942123413 34.73713684082031 54.42813968658447
13.129707018534342 34.59927940368652 44.17896270751953
14.482325871785482 34.348605155944824 52.545350074768066
13.951813220977783 34.35542821884155 49.35545110702515
14.118760585784912 34.07149362564087 50.6410698890686
13.384367307027182 34.12738656997681 46.17881727218628
14.897402286529541 33.96348428726196 55.42092943191528
14.081737359364828 33.929001808166504 50.56142234802246
13.393929481506348 33.94894981384277 46.41462707519531
15.26337162653605 33.78736925125122 57.79286050796509
16.19388739267985 33.778048515319824 63.38527584075928
14.541165669759115 33.743629932403564 53.50336408615112
20.19102732340495 33.753910541534424 87.39225339889526
17.47599919637044 33.953765869140625 70.90222930908203
13.267890135447184 33.683019161224365 45.92432165145874
15.993865648905436 33.51620531082153 62.446988582611084
14.924222469329834 33.61374282836914 55.93159198760986
17.280447006225586 33.67949867248535 70.00318336486816
17.529848098754883 33.75504398345947 71.42404460906982
15.714907964070639 33.54944467544556 60.74000310897827
17.425132751464844 33.48352241516113 71.06727409362793
15.010576407114664 33.47962760925293 56.58383083343506
16.626613934834797 33.39564847946167 66.36403512954712
14.236416975657145 33.444294452667236 51.974207401275635
14.896604537963867 33.530696392059326 55.84893083572388
15.627024173736572 33.511208057403564 60.25093698501587
17.711459795633953 33.30380916595459 72.96494960784912
17.385755221048992 33.385690689086914 70.92884063720703
15.840649286905924 33.326090812683105 61.71780490875244
16.11305824915568 33.22007179260254 63.45827770233154
17.052547772725422 33.22708034515381 69.08820629119873
15.669530550638834 33.2127685546875 60.80441474914551
20.039004643758137 33.15631437301636 87.07771348953247
20.190312385559082 33.24135494232178 87.90051937103271
16.59291648864746 33.282713890075684 66.27478504180908
19.784069697062176 33.191153049468994 85.51326513290405
17.71975803375244 33.20516777038574 73.1133804321289
20.201350212097168 33.15475034713745 88.05335092544556
17.578961690266926 33.35731744766235 72.11645269393921
18.58843994140625 33.166664123535156 78.36397552490234
18.585701942443848 33.113176345825195 78.40103530883789
17.71153672536214 33.15235471725464 73.11686563491821
20.803224563598633 33.148218631744385 91.67112874984741
19.640231768290203 33.14293575286865 84.69845485687256
19.385244369506836 33.22369337081909 83.08777284622192
19.776448885599773 33.07631206512451 85.58238124847412
17.875125249226887 33.092660427093506 74.15809106826782
18.011436462402344 33.17629957199097 74.8923192024231
19.42940362294515 33.15083932876587 83.42558240890503
18.912638664245605 33.1843900680542 80.29144191741943
22.065538088480633 33.00515127182007 99.38807725906372
20.01958719889323 33.07389163970947 87.0436315536499
16.951366583506267 32.961841106414795 68.7463583946228
20.615737279256184 33.05477714538574 90.63964653015137
19.20950190226237 32.94338417053223 82.31362724304199
20.422547658284504 33.032291412353516 89.50299453735352
18.63333797454834 32.9274001121521 78.87262773513794
18.78294849395752 32.944058418273926 79.75363254547119
20.622786204020183 32.974628925323486 90.76208829879761
18.428340593973797 33.052467346191406 77.51757621765137
18.505798021952312 32.983869552612305 78.05091857910156
18.52131716410319 33.06350517272949 78.06439781188965
19.864234924316406 33.027366638183594 86.15804290771484
17.59842650095622 33.02443790435791 72.5661211013794
20.493853251139324 33.01617908477783 89.9469404220581
18.135892550150555 32.951030254364014 75.8643250465393
22.513049443562824 32.96554374694824 102.11275291442871
19.188769658406574 32.7936897277832 82.33892822265625
